GEOID20,ADJ_GEOMS
04013000436,"['04013000736', '04013000081', '04013000515', '04013000683', '04013000438']"
04013000437,"['04025000015', '04025000017', '04013000728', '04013000439', '04013000182', '04013000740', '04013000234']"
04013000438,"['04013000081', '04013000436', '04013000683', '04013000432', '04013000018']"
04013000439,"['04025000015', '04013000662', '04025000002', '04013000437', '04013000182', '04013000701', '04013000206', '04013000049', '04013000352']"
04013000440,"['04013000587', '04013000017', '04013000132', '04013000323', '04013000242', '04013000019', '04013000452']"
04013000441,"['04013000376', '04013000253', '04013000193', '04013000220', '04013000565', '04013000254', '04013000127', '04013000380']"
04013000442,"['04013000171', '04013000170', '04013000120', '04013000486', '04013000505', '04013000570', '04013000571']"
04013000443,"['04013000669', '04013000357', '04013000129', '04013000122', '04013000042', '04013000257', '04013000595']"
04013000444,"['04013000662', '04013000049', '04013000250', '04013000741', '04013000180', '04013000113']"
04013000445,"['04013000456', '04013000341', '04013000034', '04013000286']"
04013000446,"['04013000356', '04013000025', '04013000117', '04013000245']"
04013000447,"['04013000677', '04013000196', '04013000183', '04013000208', '04013000191', '04013000095', '04013000552', '04013000169']"
04013000448,"['04013000738', '04013000391', '04013000412', '04013000725', '04013000075']"
04013000449,"['04013000460', '04013000293', '04013000175', '04013000199']"
04013000450,"['04013000532', '04013000642', '04013000418', '04013000503']"
04013000451,"['04013000246', '04013000692', '04013000711', '04013000011', '04013000066']"
04013000452,"['04013000440', '04013000132', '04013000304', '04013000032']"
04013000453,"['04013000045', '04013000478', '04013000382', '04013000123', '04013000048', '04013000261', '04013000338']"
04013000454,"['04013000376', '04013000144', '04013000641', '04013000245', '04013000127']"
04013000455,"['04021000040', '04021000043', '04013000053', '04013000488', '04013000517', '04013000226', '04013000083', '04013000372']"
04013000456,"['04013000138', '04013000631', '04013000341', '04013000445']"
04013000457,"['04013000417', '04013000289', '04013000642', '04013000535', '04013000287', '04013000201']"
04013000458,"['04013000745', '04013000644', '04013000156', '04013000626']"
04013000459,"['04013000362', '04013000300', '04013000103', '04013000092', '04013000192', '04013000614']"
04013000460,"['04013000073', '04013000263', '04013000746', '04013000199', '04013000449']"
04013000461,"['04013000135', '04013000581', '04013000553', '04013000194']"
04013000462,"['04013000195', '04013000132', '04013000170', '04013000120', '04013000032']"
04013000463,"['04013000651', '04013000403', '04013000214', '04013000260']"
04013000464,"['04013000369', '04013000685', '04013000709', '04013000646', '04013000143']"
04013000465,"['04013000282', '04013000121', '04013000158', '04013000037']"
04013000466,"['04013000259', '04013000702', '04013000520', '04013000497', '04013000718', '04013000637']"
04013000467,"['04021000088', '04021000040', '04013000541', '04013000178', '04013000735', '04013000210']"
04013000468,"['04013000298', '04013000232', '04013000024', '04013000155', '04013000379', '04013000359']"
04013000469,"['04013000140', '04013000399', '04013000698', '04013000519', '04013000580', '04013000320', '04013000041']"
04013000470,"['04013000559', '04013000239', '04013000594', '04013000264']"
04013000471,"['04013000418', '04013000118', '04013000668', '04013000516']"
04013000472,"['04013000474', '04013000574', '04013000350', '04013000538', '04013000267']"
04013000473,"['04013000390', '04013000110', '04013000116', '04013000602']"
04013000474,"['04013000158', '04013000731', '04013000730', '04013000186', '04013000574', '04013000472', '04013000137', '04013000350', '04013000538', '04013000189', '04013000009']"
04013000475,"['04013000306', '04013000431', '04013000297', '04013000539', '04013000697', '04013000166', '04013000190', '04013000218']"
04013000476,"['04013000681', '04013000686', '04013000071', '04013000207', '04013000310']"
04013000477,"['04013000257', '04013000595', '04013000159', '04013000624']"
04013000478,"['04013000390', '04013000045', '04013000115', '04013000104', '04013000345', '04013000382', '04013000453']"
04013000479,"['04013000398', '04013000400', '04013000069', '04013000162', '04013000044', '04013000090', '04013000251']"
04013000480,"['04013000276', '04013000329', '04013000699', '04013000484', '04013000055', '04013000131']"
04013000481,"['04013000413', '04013000431', '04013000248', '04013000549', '04013000667', '04013000627', '04013000320', '04013000041', '04013000689']"
04013000482,"['04013000684', '04013000601', '04013000608']"
04013000483,"['04013000533', '04013000270', '04013000579', '04013000621', '04013000713', '04013000386']"
04013000484,"['04013000480', '04013000329', '04013000131', '04013000021', '04013000522', '04013000599']"
04013000485,"['04013000221', '04013000684', '04013000099', '04013000738', '04013000391', '04013000601']"
04013000486,"['04013000120', '04013000573', '04013000442', '04013000505']"
04013000487,"['04013000748', '04013000149', '04013000325', '04013000716', '04013000557', '04013000536']"
04013000488,"['04021000040', '04013000455', '04013000178', '04013000517', '04013000210', '04013000083']"
04013000489,"['04013000375', '04013000377', '04013000271', '04013000666']"
04013000490,"['04013000143', '04013000730', '04013000186', '04013000538', '04013000185']"
04013000491,"['04013000058', '04013000397', '04013000680', '04013000100', '04013000434', '04013000046']"
04013000492,"['04013000314', '04013000399', '04013000519', '04013000531', '04013000429', '04013000504']"
04013000493,"['04021000062', '04013000065', '04013000349', '04013000363', '04013000707', '04013000635', '04013000192']"
04013000494,"['04013000674', '04013000078', '04013000566', '04013000094', '04013000512']"
04013000495,"['04013000682', '04013000670', '04013000378', '04013000134', '04013000184']"
04013000496,"['04013000281', '04013000296', '04013000217']"
04013000497,"['04013000690', '04013000703', '04013000604', '04013000702', '04013000466', '04013000125', '04013000645']"
04013000498,"['04013000681', '04013000207', '04013000097', '04013000280']"
04013000499,"['04013000152', '04013000556', '04013000408', '04013000311', '04013000502']"
04013000500,"['04013000396', '04013000015', '04013000370', '04013000643', '04013000335']"
04013000501,"['04013000338', '04013000317', '04013000339', '04013000027', '04013000627']"
04013000502,"['04013000499', '04013000040', '04013000027', '04013000311', '04013000667']"
04013000503,"['04013000642', '04013000450', '04013000418', '04013000111', '04013000383', '04013000147', '04013000668']"
04013000504,"['04013000314', '04013000399', '04013000747', '04013000492']"
04013000505,"['04013000573', '04013000442', '04013000486', '04013000318', '04013000319', '04013000425', '04013000571', '04013000577', '04013000200']"
04013000506,"['04013000238', '04013000540', '04013000179', '04013000060', '04013000375', '04013000271']"
04013000507,"['04013000179', '04013000665', '04013000060', '04013000272']"
04013000508,"['04013000159', '04013000235', '04013000289', '04013000535']"
04013000509,"['04013000348', '04013000572', '04013000606', '04013000008', '04013000617', '04013000615', '04013000607']"
04013000510,"['04013000002', '04013000089', '04013000141', '04013000544', '04013000513', '04013000628']"
04013000511,"['04013000669', '04013000416', '04013000654', '04013000724']"
04013000512,"['04013000078', '04013000558', '04013000494', '04013000094', '04013000201', '04013000031']"
04013000513,"['04013000251', '04013000510', '04013000628', '04013000107', '04013000656']"
04013000514,"['04013000515', '04013000683', '04013000344', '04013000588']"
04013000515,"['04013000591', '04013000001', '04013000436', '04013000514', '04013000683', '04013000344']"
04013000516,"['04013000471', '04013000118', '04013000668', '04013000203', '04013000419']"
04013000517,"['04013000455', '04013000488', '04013000735', '04013000265', '04013000211', '04013000226', '04013000083', '04013000372', '04013000035']"
04013000518,"['04013000735', '04013000302', '04013000654', '04013000679', '04013000612']"
04013000519,"['04013000469', '04013000399', '04013000345', '04013000647', '04013000580', '04013000531', '04013000492']"
04013000520,"['04013000259', '04013000100', '04013000466', '04013000718', '04013000322', '04013000567', '04013000181']"
04013000521,"['04013000183', '04013000714', '04013000043', '04013000435', '04013000384', '04013000285']"
04013000522,"['04013000484', '04013000021', '04013000696', '04013000665', '04013000148', '04013000596', '04013000599']"
04013000523,"['04021000096', '04013000576', '04021000095', '04021000086', '04013000541', '04013000611', '04013000358']"
04013000524,"['04013000256', '04013000065', '04013000715', '04013000228', '04013000369', '04013000174']"
04013000525,"['04013000744', '04013000608', '04013000123', '04013000048', '04013000283']"
04013000526,"['04013000216', '04013000209', '04013000610', '04013000342']"
04013000527,"['04013000196', '04013000191', '04013000377', '04013000096']"
04013000528,"['04013000100', '04013000434', '04013000046', '04013000124', '04013000308']"
04013000529,"['04013000673', '04013000314', '04013000379', '04013000359']"
04013000530,"['04013000135', '04013000681', '04013000581']"
04013000531,"['04013000647', '04013000519', '04013000429', '04013000411', '04013000492']"
04013000532,"['04013000417', '04013000409', '04013000642', '04013000450', '04013000418']"
04013000533,"['04013000420', '04013000659', '04013000014', '04013000579', '04013000483', '04013000404', '04013000386', '04013000342']"
04013000534,"['04013000600', '04013000108', '04013000361', '04013000633']"
04013000535,"['04013000159', '04013000457', '04013000508', '04013000201', '04013000031']"
04013000536,"['04013000487', '04013000716', '04013000557', '04013000033', '04013000330']"
04013000537,"['04013000314', '04013000594', '04013000600', '04013000633']"
04013000538,"['04013000474', '04013000186', '04013000472', '04013000267', '04013000490', '04013000734']"
04013000539,"['04013000431', '04013000475', '04013000549', '04013000427', '04013000166', '04013000639']"
04013000540,"['04013000082', '04013000266', '04013000238', '04013000506', '04013000271', '04013000700']"
04013000541,"['04021000088', '04013000523', '04021000086', '04021000028', '04021000098', '04013000467', '04013000735', '04013000611', '04013000612', '04013000358']"
04013000542,"['04013000003', '04013000068', '04013000300', '04013000582', '04013000160', '04013000047', '04013000389', '04013000295', '04013000290', '04013000719']"
04013000543,"['04013000063', '04013000227', '04013000694', '04013000231', '04013000721']"
04013000544,"['04013000251', '04013000133', '04013000125', '04013000510']"
04013000545,"['04013000313', '04013000012', '04013000407', '04013000585']"
04013000546,"['04013000739', '04013000394', '04013000354', '04013000572', '04013000606', '04013000076', '04013000617']"
04013000547,"['04013000373', '04013000064', '04013000422', '04013000732', '04013000169']"
04013000548,"['04013000300', '04013000047', '04013000620', '04013000092', '04013000360']"
04013000549,"['04013000314', '04013000431', '04013000481', '04013000539', '04013000689', '04013000657', '04013000694', '04013000639']"
04013000550,"['04013000087', '04013000567', '04013000401', '04013000710', '04013000693']"
04013000551,"['04013000106', '04013000421', '04013000400', '04013000742', '04013000162', '04013000161']"
04013000552,"['04013000663', '04013000447', '04013000183', '04013000004', '04013000052', '04013000169']"
04013000553,"['04013000743', '04013000461', '04013000581', '04013000039', '04013000310', '04013000197', '04013000589']"
04013000554,"['04013000045', '04013000110', '04013000283', '04013000355', '04013000609']"
04013000555,"['04013000745', '04013000578', '04013000638', '04013000353', '04013000219']"
04013000556,"['04013000152', '04013000374', '04013000261', '04013000408', '04013000499']"
04013000557,"['04013000150', '04013000325', '04013000487', '04013000423', '04013000536', '04013000330']"
04013000558,"['04013000301', '04013000157', '04013000078', '04013000416', '04013000624', '04013000512']"
04013000559,"['04013000238', '04013000239', '04013000314', '04013000594', '04013000470']"
04013000560,"['04013000069', '04013000259', '04013000702', '04013000044', '04013000090', '04013000133']"
04013000561,"['04012000057', '04013000007', '04013000288', '04013000728', '04013000671', '04013000723']"
04013000562,"['04013000314', '04013000140', '04013000413', '04013000657']"
04013000563,"['04013000301', '04013000674', '04013000650', '04013000568', '04013000566']"
04013000564,['04013000256']
04013000565,"['04013000441', '04013000202', '04013000088', '04013000254', '04013000126']"
04013000566,"['04013000563', '04013000674', '04013000568', '04013000494', '04013000222', '04013000275']"
04013000567,"['04013000137', '04013000520', '04013000637', '04013000644', '04013000181', '04013000695', '04013000401', '04013000146', '04013000550', '04013000693']"
04013000568,"['04013000563', '04013000265', '04013000366', '04013000566']"
04013000569,"['04013000381', '04013000042', '04013000235', '04013000128', '04013000154']"
04013000570,"['04013000314', '04013000171', '04013000410', '04013000442', '04013000571']"
04013000571,"['04013000314', '04013000442', '04013000505', '04013000570', '04013000108', '04013000070', '04013000577']"
04013000572,"['04013000394', '04013000348', '04013000546', '04013000606', '04013000509']"
04013000573,"['04013000120', '04013000032', '04013000486', '04013000318', '04013000505']"
04013000574,"['04013000158', '04013000474', '04013000472', '04013000350', '04013000037']"
04013000575,"['04013000582', '04013000093', '04013000670', '04013000136', '04013000719']"
04013000576,"['04021000061', '04021000096', '04013000005', '04013000523', '04013000586', '04013000611']"
04013000577,"['04013000505', '04013000571', '04013000070', '04013000584', '04013000200']"
04013000578,"['04013000216', '04013000745', '04013000555', '04013000610', '04013000077', '04013000353']"
04013000579,"['04013000659', '04013000533', '04013000270', '04013000483']"
04013000580,"['04013000469', '04013000345', '04013000382', '04013000519', '04013000339', '04013000041', '04013000726']"
04013000581,"['04013000681', '04013000530', '04013000461', '04013000310', '04013000553']"
04013000582,"['04013000068', '04013000363', '04013000542', '04013000136', '04013000575', '04013000719']"
04013000583,"['04021000053', '04013000299', '04027000P19', '04021000067', '04013000256', '04027000P21', '04013000029', '04019000002', '04019000001']"
04013000584,"['04013000425', '04013000600', '04013000070', '04013000361', '04013000577', '04013000200', '04013000660']"
04013000585,"['04013000545', '04013000012', '04013000058', '04013000138', '04013000341', '04013000712']"
04013000586,"['04013000576', '04013000005', '04013000679', '04013000611']"
04013000587,"['04013000073', '04013000115', '04013000263', '04013000104', '04013000195', '04013000017', '04013000440', '04013000132']"
04013000588,"['04013000514', '04013000278', '04013000655', '04013000663']"
04013000589,"['04013000227', '04013000039', '04013000224', '04013000197', '04013000553', '04013000694']"
04013000590,"['04013000177', '04013000423', '04013000006', '04013000033', '04013000330', '04013000077', '04013000353', '04013000219']"
04013000591,"['04013000050', '04013000736', '04013000001', '04013000515']"
04013000592,"['04013000746', '04013000276', '04013000242', '04013000225']"
04013000593,"['04013000225', '04013000699', '04013000175', '04013000081', '04013000432']"
04013000594,"['04013000559', '04013000179', '04013000314', '04013000470', '04013000537', '04013000600', '04013000264']"
04013000595,"['04013000443', '04013000042', '04013000477', '04013000159']"
04013000596,"['04013000522', '04013000665', '04013000208', '04013000036', '04013000148']"
04013000597,"['04013000244', '04013000706', '04013000030', '04013000384']"
04013000598,"['04013000613', '04013000274', '04013000297', '04013000229']"
04013000599,"['04013000484', '04013000131', '04013000522', '04013000148', '04013000064']"
04013000600,"['04013000179', '04013000425', '04013000594', '04013000537', '04013000361', '04013000534', '04013000584', '04013000660', '04013000722']"
04013000601,"['04013000485', '04013000684', '04013000084', '04013000392', '04013000268', '04013000482', '04013000387']"
04013000602,"['04013000110', '04013000116', '04013000473', '04013000355', '04013000733', '04013000215']"
04013000603,"['04013000206', '04013000051', '04013000277', '04013000054', '04013000013', '04013000153']"
04013000604,"['04013000661', '04013000690', '04013000703', '04013000497']"
04013000605,"['04013000237', '04013000076', '04013000618']"
04013000606,"['04013000546', '04013000572', '04013000509', '04013000617']"
04013000607,"['04013000509', '04013000617', '04013000615']"
04013000608,"['04013000684', '04013000525', '04013000482', '04013000283', '04013000387', '04013000403']"
04013000609,"['04013000554', '04013000283', '04013000403', '04013000355', '04013000733']"
04013000610,"['04013000216', '04013000745', '04013000578', '04013000209', '04013000526']"
04013000611,"['04013000576', '04013000523', '04013000541', '04013000586', '04013000679', '04013000612', '04013000358']"
04013000612,"['04013000541', '04013000735', '04013000518', '04013000679', '04013000611']"
04013000613,"['04013000102', '04013000306', '04013000274', '04013000297', '04013000598']"
04013000614,"['04013000459', '04013000092', '04013000192', '04013000619', '04013000229', '04013000028', '04013000247', '04013000618', '04013000616', '04013000008', '04013000360', '04013000615']"
04013000615,"['04013000614', '04013000509', '04013000008', '04013000617', '04013000607']"
04013000616,"['04013000614', '04013000247', '04013000008', '04013000717']"
04013000617,"['04013000546', '04013000606', '04013000509', '04013000076', '04013000618', '04013000615', '04013000607']"
04013000618,"['04013000619', '04013000614', '04013000237', '04013000605', '04013000076', '04013000617']"
04013000619,"['04013000376', '04013000192', '04013000614', '04013000237', '04013000618']"
04013000620,"['04013000315', '04013000649', '04013000047', '04013000548', '04013000360']"
04013000621,"['04013000270', '04013000351', '04013000483', '04013000713', '04013000347', '04013000636']"
04013000622,"['04013000236', '04013000202', '04013000692']"
04013000623,"['04013000653', '04013000050', '04013000651']"
04013000624,"['04013000558', '04013000257', '04013000477', '04013000416', '04013000031']"
04013000625,"['04025000046', '04013000082', '04013000662', '04013000086', '04013000271', '04013000096']"
04013000626,"['04013000637', '04013000644', '04013000458', '04013000156']"
04013000627,"['04013000339', '04013000481', '04013000501', '04013000667', '04013000041']"
04013000628,"['04013000089', '04013000510', '04013000513', '04013000145', '04013000656', '04013000072']"
04013000629,"['04013000206', '04013000748', '04013000150', '04013000057', '04013000054', '04013000303']"
04013000630,"['04013000682', '04013000678', '04013000087', '04013000710', '04013000134']"
04013000631,"['04013000387', '04013000456', '04013000406', '04013000286', '04013000214']"
04013000632,"['04013000376', '04013000139', '04013000172', '04013000336', '04013000246', '04013000236']"
04013000633,"['04013000314', '04013000537', '04013000108', '04013000534']"
04013000634,"['04013000243', '04013000198']"
04013000635,"['04013000493', '04013000363', '04013000093', '04013000707', '04013000136']"
04013000636,"['04013000621', '04013000013', '04013000347', '04013000303']"
04013000637,"['04013000690', '04013000466', '04013000718', '04013000644', '04013000156', '04013000638', '04013000567', '04013000626']"
04013000638,"['04013000690', '04013000637', '04013000745', '04013000555', '04013000156', '04013000219']"
04013000639,"['04013000549', '04013000539', '04013000321', '04013000694']"
04013000640,"['04021000061', '04013000101', '04013000061']"
04013000641,"['04021000061', '04013000376', '04013000144', '04013000454']"
04013000642,"['04013000532', '04013000457', '04013000275', '04013000450', '04013000503', '04013000287']"
04013000643,"['04013000393', '04013000500', '04013000161', '04013000145', '04013000072']"
04013000644,"['04013000637', '04013000745', '04013000458', '04013000209', '04013000567', '04013000146', '04013000626']"
04013000645,"['04013000702', '04013000125', '04013000497']"
04013000646,"['04013000723', '04013000464', '04013000685', '04013000709', '04013000205']"
04013000647,"['04013000104', '04013000345', '04013000519', '04013000410', '04013000531', '04013000429', '04013000411']"
04013000648,"['04013000673', '04013000266', '04007000025']"
04013000649,"['04013000102', '04013000385', '04013000315', '04013000047', '04013000620']"
04013000650,"['04013000735', '04013000563', '04013000265', '04013000211']"
04013000651,"['04013000653', '04013000199', '04013000623', '04013000675', '04013000214', '04013000463', '04013000260', '04013000733', '04013000215']"
04013000652,"['04013000329', '04013000305', '04013000021', '04013000114']"
04013000653,"['04013000293', '04013000175', '04013000199', '04013000050', '04013000623', '04013000651']"
04013000654,"['04013000302', '04013000518', '04013000511', '04013000724']"
04013000655,"['04013000344', '04013000588', '04013000663', '04013000343', '04013000368']"
04013000656,"['04013000161', '04013000513', '04013000628', '04013000107', '04013000072']"
04013000657,"['04013000562', '04013000413', '04013000549', '04013000689']"
04013000658,"['04013000150', '04013000130', '04013000216', '04013000713', '04013000347']"
04013000659,"['04013000420', '04013000737', '04013000533', '04013000284', '04013000269', '04013000270', '04013000579']"
04013000660,"['04013000425', '04013000600', '04013000584']"
04013000661,"['04013000002', '04013000023', '04013000690', '04013000703', '04013000177', '04013000604']"
04013000662,"['04025000015', '04025000056', '04025000046', '04013000625', '04025000002', '04013000439', '04013000049', '04013000444', '04013000113']"
04013000663,"['04013000588', '04013000655', '04013000056', '04013000052', '04013000552', '04013000343']"
04013000664,"['04013000723', '04013000291']"
04013000665,"['04013000696', '04013000114', '04013000522', '04013000208', '04013000596', '04013000507', '04013000318', '04013000319', '04013000272', '04013000337']"
04013000666,"['04013000377', '04013000086', '04013000271', '04013000489']"
04013000667,"['04013000481', '04013000040', '04013000027', '04013000502', '04013000627']"
04013000668,"['04013000503', '04013000147', '04013000471', '04013000516', '04013000080']"
04013000669,"['04013000253', '04013000220', '04013000025', '04013000122', '04013000443', '04013000257', '04013000416', '04013000511', '04013000724', '04013000364']"
04013000670,"['04013000093', '04013000282', '04013000575', '04013000016', '04013000378', '04013000184', '04013000495', '04013000719']"
04013000671,"['04013000561', '04013000288', '04013000029', '04013000405']"
04013000672,"['04013000243', '04013000198', '04013000688', '04013000232', '04013000024', '04013000155']"
04013000673,"['04021000051', '04021000052', '04021000072', '04021000045', '04021000056', '04021000057', '04013000298', '04007000013', '04013000266', '04007000023', '04007000025', '04013000648', '04013000314', '04013000359', '04013000529']"
04013000674,"['04013000563', '04013000078', '04013000566', '04013000494']"
04013000675,"['04013000050', '04013000142', '04013000651', '04013000214']"
04013000676,"['04013000737', '04013000182', '04013000284', '04013000269']"
04013000677,"['04013000049', '04013000447', '04013000196', '04013000168', '04013000183']"
04013000678,"['04013000312', '04013000682', '04013000630', '04013000087', '04013000424']"
04013000679,"['04013000005', '04013000518', '04013000586', '04013000611', '04013000612', '04013000724']"
04013000680,"['04013000397', '04013000491', '04013000259', '04013000100']"
04013000681,"['04013000085', '04013000135', '04013000530', '04013000581', '04013000476', '04013000207', '04013000097', '04013000498']"
04013000682,"['04013000402', '04013000312', '04013000433', '04013000678', '04013000630', '04013000184', '04013000495']"
04013000683,"['04013000515', '04013000436', '04013000514', '04013000438', '04013000278']"
04013000684,"['04013000485', '04013000099', '04013000601', '04013000744', '04013000608', '04013000482']"
04013000685,"['04013000723', '04013000464', '04013000646', '04013000143', '04013000704']"
04013000686,"['04013000476', '04013000071', '04013000207', '04013000427', '04013000166', '04013000190']"
04013000687,"['04013000062', '04013000369', '04013000316', '04013000727']"
04013000688,"['04013000198', '04013000112', '04013000672', '04013000252', '04013000223']"
04013000689,"['04013000413', '04013000481', '04013000549', '04013000657']"
04013000690,"['04013000661', '04013000177', '04013000604', '04013000497', '04013000637', '04013000638', '04013000219']"
04013000691,"['04013000220', '04013000126', '04013000357', '04013000122']"
04013000692,"['04013000622', '04013000202', '04013000711', '04013000451', '04013000426', '04013000331', '04013000255']"
04013000693,"['04013000087', '04013000124', '04013000322', '04013000567', '04013000181', '04013000550']"
04013000694,"['04013000314', '04013000227', '04013000549', '04013000224', '04013000589', '04013000639', '04013000543', '04013000231']"
04013000695,"['04013000137', '04013000567', '04013000401']"
04013000696,"['04013000021', '04013000522', '04013000665']"
04013000697,"['04013000297', '04013000475', '04013000229', '04013000247', '04013000218']"
04013000698,"['04013000140', '04013000469', '04013000413', '04013000320']"
04013000699,"['04013000276', '04013000480', '04013000225', '04013000055', '04013000593', '04013000432']"
04013000700,"['04013000082', '04013000266', '04013000540']"
04013000701,"['04013000439', '04013000182', '04013000206']"
04013000702,"['04013000259', '04013000466', '04013000560', '04013000125', '04013000645', '04013000497']"
04013000703,"['04013000661', '04013000002', '04013000604', '04013000125', '04013000497', '04013000141']"
04013000704,"['04013000723', '04013000685', '04013000143', '04013000420', '04013000014', '04013000730']"
04013000705,"['04013000011', '04013000066', '04013000085', '04013000135']"
04013000706,"['04013000020', '04013000059', '04013000244', '04013000030', '04013000597']"
04013000707,"['04013000065', '04013000493', '04013000228', '04013000093', '04013000282', '04013000635', '04013000121', '04013000188']"
04013000708,"['04013000743', '04013000154', '04013000091', '04013000194']"
04013000709,"['04013000369', '04013000727', '04013000464', '04013000646', '04013000205']"
04013000710,"['04013000630', '04013000189', '04013000378', '04013000134', '04013000550']"
04013000711,"['04013000246', '04013000236', '04013000692', '04013000451']"
04013000712,"['04013000585', '04013000341', '04013000340', '04013000397']"
04013000713,"['04013000658', '04013000216', '04013000621', '04013000483', '04013000347', '04013000386', '04013000342']"
04013000714,"['04013000049', '04013000183', '04013000352', '04013000435', '04013000521']"
04013000715,"['04013000524', '04013000228', '04013000174']"
04013000716,"['04013000023', '04013000244', '04013000149', '04013000487', '04013000033', '04013000536']"
04013000717,"['04013000348', '04013000247', '04013000616', '04013000008', '04013000097', '04013000280']"
04013000718,"['04013000466', '04013000520', '04013000637']"
04013000719,"['04013000582', '04013000542', '04013000433', '04013000670', '04013000575', '04013000184']"
04013000720,"['04013000221', '04013000738', '04013000084', '04013000412', '04013000213', '04013000385', '04013000431']"
04013000721,"['04013000346', '04013000543', '04013000231', '04013000203']"
04013000722,"['04013000179', '04013000425', '04013000167', '04013000600']"
04013000723,"['04013000561', '04013000728', '04013000405', '04013000291', '04013000685', '04013000646', '04013000704', '04013000205', '04013000420', '04013000737', '04013000182', '04013000234', '04013000664']"
04013000724,"['04013000061', '04013000005', '04013000669', '04013000511', '04013000654', '04013000679', '04013000364']"
04013000725,"['04013000448', '04013000412', '04013000152', '04013000075']"
04013000726,"['04013000580', '04013000339', '04013000041']"
04013000727,"['04013000369', '04013000687', '04013000291', '04013000709', '04013000205']"
04013000728,"['04025000016', '04013000561', '04013000007', '04025000017', '04013000437', '04013000723', '04013000234']"
04013000729,"['04013000265', '04013000074', '04013000226', '04013000294']"
04013000730,"['04013000143', '04013000704', '04013000014', '04013000474', '04013000731', '04013000186', '04013000371', '04013000490']"
04013000731,"['04013000474', '04013000730', '04013000009', '04013000388', '04013000371']"
04013000732,"['04013000056', '04013000422', '04013000169', '04013000547']"
04013000733,"['04013000651', '04013000403', '04013000355', '04013000602', '04013000260', '04013000215', '04013000609']"
04013000734,"['04013000228', '04013000538', '04013000267', '04013000185', '04013000176']"
04013000735,"['04013000541', '04013000467', '04013000301', '04013000258', '04013000650', '04013000211', '04013000517', '04013000302', '04013000518', '04013000210', '04013000612']"
04013000736,"['04013000175', '04013000050', '04013000591', '04013000081', '04013000436']"
04013000737,"['04013000723', '04013000420', '04013000659', '04013000182', '04013000284', '04013000676']"
04013000738,"['04013000485', '04013000221', '04013000448', '04013000412', '04013000720']"
04013000739,"['04013000376', '04013000414', '04013000394', '04013000354', '04013000546']"
04013000740,"['04013000437', '04013000182', '04013000234', '04013000067']"
04013000741,"['04013000168', '04013000250', '04013000444', '04013000180', '04013000292', '04013000395']"
04013000742,"['04013000001', '04013000106', '04013000393', '04013000551', '04013000161']"
04013000743,"['04013000324', '04013000381', '04013000227', '04013000197', '04013000553', '04013000194', '04013000708']"
04013000744,"['04013000684', '04013000099', '04013000391', '04013000525', '04013000123']"
04013000745,"['04013000578', '04013000644', '04013000458', '04013000555', '04013000156', '04013000638', '04013000209', '04013000610']"
04013000746,"['04013000263', '04013000017', '04013000460', '04013000242', '04013000592', '04013000225', '04013000175']"
04013000747,"['04013000314', '04013000140', '04013000399', '04013000504']"
04013000748,"['04013000206', '04013000352', '04013000244', '04013000149', '04013000150', '04013000629', '04013000325', '04013000487']"
04015000201,"['04015000206', '04015000217', '04015000218', '04015000220', '04015000203', '04025000013', '04012000056', '04025000016', '04025000014']"
04015000202,"['04015000209', '04015000213', '04015000208']"
04015000203,"['04015000206', '04015000219', '04015000220', '04015000207', '04015000201', '04015000222']"
04015000204,"['04015000209', '04015000211', '04015000213', '04015000210', '04015000216', '04015000218']"
04015000205,"['04015000221', '04005000060', '04015000223', '04005000058']"
04015000206,"['04015000211', '04015000210', '04015000212', '04015000217', '04015000203', '04015000201', '04015000222']"
04015000207,"['04015000219', '04015000203', '04015000222']"
04015000208,"['04015000213', '04015000202', '04015000221', '04015000224']"
04015000209,"['04015000211', '04015000213', '04015000202', '04015000204']"
04015000210,"['04015000211', '04015000204', '04015000206', '04015000216', '04015000217']"
04015000211,"['04015000209', '04015000204', '04015000210', '04015000206', '04015000212']"
04015000212,"['04015000211', '04015000206', '04015000222']"
04015000213,"['04015000209', '04015000202', '04015000204', '04015000208', '04015000224', '04015000218', '04015000214']"
04015000214,"['04015000213', '04015000224', '04015000218', '04025000013']"
04015000215,"['04015000216', '04015000217', '04015000218']"
04015000216,"['04015000204', '04015000210', '04015000217', '04015000218', '04015000215']"
04015000217,"['04015000210', '04015000206', '04015000216', '04015000218', '04015000215', '04015000201']"
04015000218,"['04015000213', '04015000204', '04015000216', '04015000217', '04015000215', '04015000214', '04025000013', '04015000201']"
04015000219,"['04015000220', '04015000203', '04015000207']"
04015000220,"['04015000219', '04015000203', '04015000201', '04012000056', '04012000062', '04012000054']"
04015000221,"['04015000208', '04015000224', '04015000205', '04005000060']"
04015000222,"['04015000206', '04015000212', '04015000203', '04015000207']"
04015000223,"['04015000205', '04005000058']"
04015000224,"['04015000213', '04015000221', '04015000208', '04005000060', '04015000214', '04025000013']"
04017000001,"['04017000018', '04017000058', '04017000029', '04017000007', '04005000069', '04017000046']"
04017000002,"['04001000195', '04017000004', '04017000045', '04017000008', '04017000032']"
04017000003,"['04001000020', '04017000061', '04017000060', '04017000014', '04017000015']"
04017000004,"['04001000040', '04001000150', '04017000002', '04017000011', '04017000008']"
